country,age,gender,occupation,education_level,income_usd,daily_screen_time_hours,phone_unlocks_per_day,social_media_usage_hours,gaming_usage_hours,streaming_usage_hours,messaging_usage_hours,work_related_usage_hours,sleep_hours,physical_activity_hours,mental_health_score,depression_score,anxiety_score,stress_level,relationship_status,has_children,urban_or_rural,time_spent_with_family_hours,online_shopping_hours,has_screen_time_management_app,self_reported_addiction_level,monthly_data_usage_gb,has_night_mode_on,age_first_phone,push_notifications_per_day,tech_savviness_score,education_level_encoded,relationship_status_encoded,urban_or_rural_encoded,self_reported_addiction_level_encoded,gender_encoded,screen_time_bin,age_group,Screen_Time_Category,gender_Female,gender_Male,gender_Other,relationship_status_Divorced,relationship_status_In Relationship,relationship_status_Married,relationship_status_Single,is_rural,is_urban,has_children_0,has_children_1,Total_Entertainment_Hours,Overall_Mental_Health_Index,Anomali,Cluster,Outlier,Type,Stress_Category
0,36,1,6,2,20817.23,5.87,94,1.46,2.47,2.14,1.36,2.29,5.41,0.61,43.34,11.48,36.97,9.31,3,1,1,1.93,1.24,1,0,25.57,0,8,70,22.05,3.0,1,1,3,1,2,1,0,0,1,0,0,0,0,1,False,True,False,True,7.430000000000001,24.08666666666667,1,-1,False,0,1
7,34,1,3,0,33236.88,8.09,86,2.58,1.89,2.42,0.98,2.19,6.52,0.79,7.35,93.59,43.44,69.66,0,0,1,2.53,1.23,0,2,17.14,0,13,95,24.82,1.0,4,1,2,1,4,0,3,0,1,0,1,0,0,0,False,True,True,False,7.869999999999999,-61.54666666666666,1,-1,False,0,2
9,18,0,2,0,16430.69,5.01,75,1.12,0.69,1.26,1.63,1.11,7.42,1.4,88.7,58.26,24.99,23.15,0,1,1,2.16,0.0,1,3,29.76,1,8,112,37.84,1.0,4,1,4,2,2,4,0,1,0,0,1,0,0,0,False,True,False,True,4.7,53.23333333333334,1,-1,False,0,1
2,49,0,6,1,30612.87,5.22,62,3.16,2.58,2.25,1.02,3.23,6.26,0.33,11.29,68.24,83.12,79.94,2,1,0,1.21,1.52,0,2,26.45,0,17,98,62.58,1.0,3,2,2,2,2,2,0,1,0,0,0,0,1,0,True,False,False,True,9.01,-65.81,1,-1,False,0,2
3,62,2,5,1,10372.75,9.32,69,2.64,0.78,1.55,1.21,2.54,7.1,0.56,28.51,81.22,25.05,77.97,2,1,0,1.64,0.73,0,2,34.46,1,16,116,31.8,1.0,3,2,2,3,4,3,3,0,0,1,0,0,1,0,True,False,False,True,6.18,-32.903333333333336,1,-1,False,0,2
4,58,1,0,1,33600.33,4.68,108,2.43,1.86,4.63,2.34,1.32,6.21,1.11,80.67,5.48,42.45,16.43,3,1,0,1.09,0.33,0,3,7.12,1,16,93,7.82,1.0,1,2,4,1,2,2,2,0,1,0,0,0,0,1,True,False,False,True,11.26,59.21666666666667,-1,-1,True,1,1
9,51,2,3,1,41764.15,8.19,47,1.29,1.72,1.44,1.16,2.72,6.34,0.35,99.02,39.11,41.98,77.2,1,1,0,1.64,0.37,0,2,23.55,1,12,149,10.65,1.0,2,2,2,3,4,2,3,0,0,1,0,1,0,0,True,False,False,True,5.609999999999999,46.25666666666667,1,-1,False,0,2
5,18,1,1,3,40513.1,6.06,68,1.38,0.0,1.27,1.99,2.46,6.68,1.07,61.56,51.64,48.92,41.25,1,0,1,2.33,0.9,0,3,31.2,0,13,12,47.86,4.0,2,1,4,1,3,4,0,0,1,0,0,1,0,0,False,True,True,False,4.64,14.29,1,-1,False,0,1
9,33,1,3,1,6521.03,5.79,47,0.0,0.34,1.88,1.23,1.11,4.86,1.11,28.44,29.96,15.42,16.75,2,1,0,0.0,0.77,0,3,41.45,1,11,99,14.92,1.0,3,2,4,1,2,0,0,0,1,0,0,0,1,0,True,False,False,True,3.4499999999999997,7.73,-1,-1,True,1,1
3,22,2,3,3,40098.41,5.64,99,2.87,0.51,2.44,1.11,4.06,6.29,0.77,34.91,65.1,76.13,72.57,2,1,0,1.55,1.05,1,3,21.51,1,20,52,63.38,4.0,3,2,4,3,2,4,0,0,0,1,0,0,1,0,True,False,False,True,6.930000000000001,-36.35666666666667,1,-1,False,0,2
8,15,1,7,2,32969.28,6.28,129,1.39,2.58,1.65,1.82,2.63,6.58,1.12,71.66,98.86,78.81,62.92,1,0,0,0.04,0.31,1,0,32.38,0,18,124,15.88,3.0,2,2,3,1,3,4,0,0,1,0,0,1,0,0,True,False,True,False,7.44,-8.536666666666676,1,-1,False,0,2
8,12,1,7,3,26712.11,4.43,77,1.25,0.81,1.11,1.58,2.45,4.43,1.27,24.99,85.28,84.19,64.97,1,1,1,3.18,2.45,0,3,29.83,1,16,125,71.33,4.0,2,1,4,1,2,4,2,0,1,0,0,1,0,0,False,True,False,True,4.75,-53.156666666666666,1,-1,True,1,2
6,47,2,7,3,21716.65,4.58,94,3.55,2.35,0.58,1.9,2.13,5.93,1.11,63.32,31.19,16.0,78.69,3,0,0,1.84,0.63,0,2,42.61,1,14,193,23.43,4.0,1,2,2,3,2,2,2,0,0,1,0,0,0,1,True,False,True,False,8.38,21.36,1,-1,False,0,2
2,59,0,7,3,9842.34,8.01,109,0.84,1.82,1.55,1.8,0.57,4.92,0.53,75.96,72.52,58.81,56.49,1,0,1,2.36,0.81,1,3,44.71,1,10,102,88.11,4.0,2,1,4,2,4,2,3,1,0,0,0,1,0,0,False,True,True,False,6.01,13.353333333333332,1,-1,False,0,1
7,14,0,1,1,13479.02,0.0,124,2.58,0.22,1.15,1.9,0.81,6.71,0.31,42.89,32.28,3.62,45.07,2,0,1,2.52,1.15,0,0,21.46,1,15,100,67.37,1.0,3,1,3,2,2,4,0,1,0,0,0,0,1,0,False,True,True,False,5.85,15.900000000000002,1,-1,False,0,1
3,17,0,7,1,56916.82,7.96,21,2.48,1.25,3.64,1.13,0.29,5.76,0.58,23.22,29.45,67.5,31.97,3,0,1,1.86,1.32,1,0,33.24,1,16,81,27.39,1.0,1,1,3,2,3,4,0,1,0,0,0,0,0,1,False,True,True,False,8.5,-19.753333333333337,1,-1,False,0,1
1,18,1,7,1,9879.63,4.42,79,1.3,3.61,1.52,1.43,1.93,4.39,1.65,94.47,72.47,23.06,37.18,1,1,1,0.46,1.24,1,0,35.65,1,13,110,20.23,1.0,2,1,3,1,2,4,2,0,1,0,0,1,0,0,False,True,False,True,7.859999999999999,50.23333333333333,1,-1,False,0,1
4,16,0,6,3,24063.91,5.36,86,1.94,1.09,1.76,0.63,0.25,5.92,0.7,22.59,34.05,51.7,97.24,0,0,1,0.92,1.12,0,0,31.07,0,16,80,60.18,4.0,4,1,3,2,2,4,0,1,0,0,1,0,0,0,False,True,True,False,5.42,-38.406666666666666,1,-1,False,0,0
8,54,0,6,3,30169.2,4.15,90,0.56,0.0,1.93,0.76,5.0,6.7,1.37,89.2,22.99,18.36,40.77,1,0,1,2.49,0.85,1,0,30.12,1,16,113,29.02,4.0,2,1,3,2,2,2,2,1,0,0,0,1,0,0,False,True,True,False,3.25,61.82666666666667,1,-1,False,0,1
7,46,0,7,1,42586.1,10.78,42,3.4,2.39,2.24,1.06,0.75,6.35,0.26,67.33,3.06,87.38,97.16,0,1,0,1.43,0.47,1,3,20.09,0,8,48,25.3,1.0,4,2,4,2,4,2,3,1,0,0,1,0,0,0,True,False,False,True,9.090000000000002,4.796666666666667,1,-1,True,1,0
1,18,0,2,0,9612.64,4.27,105,0.47,1.87,2.34,1.44,1.55,5.48,0.26,36.6,46.42,1.04,36.4,3,1,1,2.36,0.95,0,3,31.13,1,11,97,93.39,1.0,1,1,4,2,2,4,2,1,0,0,0,0,0,1,False,True,False,True,6.119999999999999,8.646666666666668,1,-1,False,0,1
9,40,1,4,0,36207.99,7.94,65,0.61,1.54,3.28,0.9,2.89,6.25,0.55,18.91,97.11,55.54,75.19,1,1,0,2.11,0.96,0,3,9.38,1,20,125,11.8,1.0,2,2,4,1,3,1,0,0,1,0,0,1,0,0,True,False,False,True,6.33,-57.03666666666667,1,-1,False,0,2
6,17,0,5,0,31923.16,6.01,95,2.4,2.31,1.83,1.15,2.13,4.71,0.98,82.92,16.8,95.53,64.49,0,1,0,2.29,1.24,0,0,14.3,0,8,116,59.43,1.0,4,2,3,2,3,4,0,1,0,0,1,0,0,0,True,False,False,True,7.69,23.980000000000004,1,-1,False,0,2
6,50,0,4,2,23504.44,5.26,105,2.16,2.41,2.47,0.63,2.06,6.57,2.0,80.94,28.7,17.27,65.33,3,0,1,1.24,1.18,0,2,28.07,0,10,70,54.43,3.0,1,1,2,2,2,2,0,1,0,0,0,0,0,1,False,True,True,False,7.670000000000001,43.84,1,-1,False,0,2
8,18,2,3,0,29571.43,3.89,61,1.17,0.34,1.4,2.79,2.58,7.26,1.17,66.65,78.05,62.7,24.48,0,0,1,2.26,0.64,1,1,17.6,0,13,107,47.43,1.0,4,1,1,3,1,4,2,0,0,1,1,0,0,0,False,True,True,False,5.7,11.57333333333333,1,-1,False,0,1
8,54,2,6,3,35539.71,5.17,7,3.29,0.0,0.04,1.52,3.05,5.07,1.63,57.16,71.46,77.56,95.05,1,1,1,0.87,2.04,1,0,24.14,0,11,166,80.0,4.0,2,1,3,3,2,2,0,0,0,1,0,1,0,0,False,True,False,True,4.85,-24.196666666666673,-1,-1,True,1,0
5,59,2,7,1,24786.22,6.01,16,4.17,0.7,4.16,1.51,1.95,6.38,1.22,61.62,23.85,6.22,72.13,3,0,1,1.15,0.44,1,3,38.26,0,14,124,11.56,1.0,1,1,4,3,3,2,0,0,0,1,0,0,0,1,False,True,True,False,10.54,27.553333333333335,1,-1,True,1,2
2,49,0,1,2,25684.77,6.45,107,1.81,0.71,1.23,2.17,2.38,5.63,1.48,1.02,67.08,74.55,8.49,0,0,1,1.17,0.87,0,0,22.68,1,15,50,88.27,3.0,4,1,3,2,3,2,0,1,0,0,1,0,0,0,False,True,True,False,5.92,-49.02,1,-1,False,0,1
8,47,2,1,0,23753.87,4.56,115,1.83,0.31,1.66,1.25,1.62,7.09,1.41,26.41,36.12,72.11,98.84,1,1,0,0.91,0.65,0,1,42.36,1,15,61,82.6,1.0,2,2,1,3,2,2,2,0,0,1,0,1,0,0,True,False,False,True,5.05,-42.61333333333333,1,-1,False,0,0
2,38,0,6,1,43091.25,4.88,85,3.66,0.0,2.25,1.66,1.56,5.72,1.36,58.5,43.49,63.54,99.88,2,0,0,0.19,0.0,0,3,22.04,0,9,111,67.72,1.0,3,2,4,2,2,1,2,1,0,0,0,0,1,0,True,False,True,False,7.57,-10.47,1,-1,False,0,0
3,17,1,3,3,13863.74,5.56,58,2.67,1.92,3.25,2.16,1.37,5.67,1.54,78.56,34.31,89.73,63.77,1,0,0,1.94,1.59,0,3,34.47,1,18,28,29.77,4.0,2,2,4,1,2,4,0,0,1,0,0,1,0,0,True,False,True,False,10.0,15.95666666666667,1,-1,False,0,2
6,47,1,0,2,28528.62,9.18,88,2.81,1.21,3.73,2.01,2.57,6.09,1.18,79.83,45.83,98.4,76.86,2,0,0,1.54,1.14,0,0,25.39,0,19,160,58.95,3.0,3,2,3,1,4,2,3,0,1,0,0,0,1,0,True,False,True,False,9.76,6.133333333333326,1,-1,False,0,2
9,62,1,5,1,62484.72,6.87,53,2.69,2.99,1.73,1.26,2.0,5.68,1.07,55.67,56.57,81.09,65.26,3,0,1,3.4,0.47,1,0,17.15,1,18,89,40.94,1.0,1,1,3,1,3,3,0,0,1,0,0,0,0,1,False,True,True,False,8.67,-11.97,1,-1,False,0,2
2,42,1,4,1,42534.62,7.72,108,0.72,0.48,4.21,1.73,0.81,7.42,2.19,63.37,72.28,95.69,89.11,1,1,0,2.54,1.56,0,3,28.43,0,15,139,10.96,1.0,2,2,4,1,3,1,0,0,1,0,0,1,0,0,True,False,False,True,7.140000000000001,-22.32333333333333,-1,-1,True,1,0
7,34,1,7,1,48243.73,5.45,109,2.15,2.12,2.05,1.98,2.28,6.73,0.95,14.52,73.58,81.41,95.95,3,0,1,1.59,0.77,1,1,22.1,1,17,63,58.83,1.0,1,1,1,1,2,0,0,0,1,0,0,0,0,1,False,True,True,False,8.299999999999999,-69.12666666666667,1,-1,False,0,0
5,66,0,5,2,26120.83,9.69,83,1.24,1.58,1.85,2.15,0.61,6.76,0.96,75.76,8.95,13.34,32.51,0,1,1,2.64,1.56,1,0,43.65,1,11,75,89.02,3.0,4,1,3,2,4,3,3,1,0,0,1,0,0,0,False,True,False,True,6.82,57.49333333333334,1,-1,False,0,1
1,32,1,7,3,10927.61,7.23,77,2.07,0.66,3.28,0.66,2.61,6.71,0.83,92.29,90.53,11.02,34.39,3,1,0,0.03,0.66,1,0,13.82,0,14,68,44.07,4.0,1,2,3,1,3,0,0,0,1,0,0,0,0,1,True,False,False,True,6.67,46.976666666666674,1,-1,False,0,1
8,46,1,5,0,12708.12,9.25,65,2.59,0.99,0.74,1.09,0.95,4.96,0.49,47.99,31.0,82.24,55.28,0,1,0,0.01,0.89,1,2,15.6,1,15,120,86.55,1.0,4,2,2,1,4,2,3,0,1,0,1,0,0,0,True,False,False,True,5.41,-8.183333333333323,1,-1,False,0,1
0,27,0,4,2,52830.16,4.56,98,1.34,3.93,3.21,1.65,1.86,6.23,1.18,80.13,40.45,94.74,42.98,3,1,1,0.32,1.01,1,0,30.48,1,8,82,55.6,3.0,1,1,3,2,2,0,2,1,0,0,0,0,0,1,False,True,False,True,10.13,20.739999999999988,1,-1,False,0,1
1,37,0,1,0,50032.14,6.17,54,3.43,1.07,1.67,1.94,1.28,7.97,0.77,65.88,9.34,2.02,76.9,0,1,1,1.15,1.14,1,0,24.92,1,14,92,59.2,1.0,4,1,3,2,3,1,0,1,0,0,1,0,0,0,False,True,False,True,8.11,36.459999999999994,1,-1,False,0,2
1,25,1,6,1,31163.24,6.53,75,1.52,0.0,0.0,1.34,1.96,7.56,1.76,21.55,14.31,41.51,2.16,1,0,1,0.98,0.44,1,0,11.21,1,19,116,76.07,1.0,2,1,3,1,3,4,0,0,1,0,0,1,0,0,False,True,True,False,2.8600000000000003,2.2233333333333363,-1,-1,False,0,1
5,57,2,6,3,35511.04,6.44,49,1.77,0.89,1.81,0.94,3.66,6.51,0.0,65.48,40.72,81.61,58.22,0,1,0,1.57,1.34,0,0,24.3,1,17,144,85.57,4.0,4,2,3,3,3,2,0,0,0,1,1,0,0,0,True,False,False,True,5.41,5.296666666666667,1,-1,False,0,1
8,31,1,5,1,38344.74,8.83,120,0.99,1.03,2.06,1.14,2.06,6.1,0.43,66.24,36.8,89.56,70.19,0,0,0,0.93,1.13,1,3,24.13,0,13,126,7.09,1.0,4,2,4,1,4,0,3,0,1,0,1,0,0,0,True,False,True,False,5.22,0.7233333333333292,1,-1,False,0,2
0,34,1,1,1,28172.69,9.2,30,2.71,0.24,1.65,1.88,2.37,8.51,0.65,36.67,65.96,45.73,59.98,3,0,1,-0.0,0.76,0,3,8.5,0,11,152,43.01,1.0,1,1,4,1,4,0,3,0,1,0,0,0,0,1,False,True,True,False,6.4799999999999995,-20.553333333333327,1,-1,False,0,2
1,16,2,7,1,22885.39,5.1,69,2.82,2.06,1.93,0.75,1.57,6.98,1.24,88.38,30.27,47.69,98.91,0,0,0,2.92,0.98,0,0,37.69,0,8,59,37.46,1.0,4,2,3,3,2,4,0,0,0,1,1,0,0,0,True,False,True,False,7.56,29.423333333333325,1,-1,False,0,0
7,21,0,1,3,50990.32,5.63,60,0.0,1.09,3.39,2.25,2.62,7.06,1.03,7.33,70.8,69.04,62.79,3,0,0,1.44,0.88,0,2,25.95,0,14,84,53.32,4.0,1,2,2,2,2,4,0,1,0,0,0,0,0,1,True,False,True,False,6.73,-60.21333333333334,1,-1,False,0,2
8,25,0,1,1,24001.72,5.09,64,4.05,2.61,0.0,1.62,1.15,4.94,0.5,31.06,63.01,39.36,30.55,2,1,0,2.63,1.9,0,0,21.62,0,20,107,90.12,1.0,3,2,3,2,2,4,0,1,0,0,0,0,1,0,True,False,False,True,8.280000000000001,-13.246666666666671,1,-1,False,0,1
2,25,2,7,1,59738.4,3.2,69,3.31,1.78,2.24,1.15,1.74,6.94,0.33,62.13,15.61,46.93,49.47,2,0,0,1.45,1.46,0,1,32.37,1,18,67,23.12,1.0,3,2,1,3,1,4,2,0,0,1,0,0,1,0,True,False,True,False,8.48,24.793333333333337,1,-1,False,0,1
0,59,2,3,1,16298.43,5.25,91,1.85,-0.0,0.59,1.22,2.27,5.9,1.5,50.48,30.54,38.26,70.9,1,0,1,2.21,0.58,1,0,29.65,0,16,58,34.4,1.0,2,1,3,3,2,2,0,0,0,1,0,1,0,0,False,True,True,False,3.66,3.913333333333334,1,-1,False,0,2
4,14,2,1,1,21647.36,7.28,101,1.19,2.02,0.65,2.23,3.13,7.51,0.0,30.22,52.72,65.14,34.35,1,1,0,1.73,0.94,0,3,35.58,0,12,76,86.85,1.0,2,2,4,3,3,4,0,0,0,1,0,1,0,0,True,False,False,True,6.09,-20.51666666666666,1,-1,False,0,1
0,50,1,7,1,28480.64,4.63,118,3.4,4.86,1.97,2.31,0.8,6.26,0.33,65.63,14.28,46.05,87.64,3,1,0,1.97,0.64,0,1,19.01,0,13,122,10.24,1.0,1,2,1,1,2,2,2,0,1,0,0,0,0,1,True,False,False,True,12.54,16.306666666666665,1,-1,True,1,0
0,42,1,7,0,34912.73,5.99,87,0.0,1.43,2.78,1.68,0.34,8.21,0.25,61.22,76.34,83.18,45.3,2,1,0,1.99,0.61,0,2,16.92,0,12,74,71.71,1.0,3,2,2,1,2,1,0,0,1,0,0,0,1,0,True,False,False,True,5.89,-7.0533333333333275,1,-1,False,0,1
1,23,0,5,1,40365.08,5.22,74,2.7,0.41,0.0,0.76,0.17,6.56,0.06,13.94,5.95,65.65,14.5,2,0,0,1.64,1.43,1,0,12.46,1,18,99,5.36,1.0,3,2,3,2,2,4,0,1,0,0,0,0,1,0,True,False,True,False,3.87,-14.760000000000003,1,-1,False,0,1
8,55,0,1,1,11564.19,6.72,63,0.25,1.1,0.0,1.81,1.29,5.24,0.19,29.64,46.71,39.98,6.84,2,1,1,0.65,0.48,0,0,29.67,1,14,119,94.71,1.0,3,1,3,2,3,2,0,1,0,0,0,0,1,0,False,True,False,True,3.16,-1.5366666666666653,1,-1,False,0,1
0,50,1,7,3,38790.85,6.58,114,1.79,1.0,0.93,1.27,0.04,4.84,0.0,93.9,6.94,3.7,83.94,3,1,0,0.0,0.87,0,1,42.12,0,20,90,44.54,4.0,1,2,1,1,3,2,0,0,1,0,0,0,0,1,True,False,False,True,4.99,62.373333333333335,-1,-1,True,1,0
4,59,1,1,1,47005.77,8.95,105,1.05,1.96,1.17,1.92,4.96,5.22,1.33,31.85,73.41,42.08,56.05,0,0,0,2.27,1.18,1,2,29.23,1,15,74,75.53,1.0,4,2,2,1,4,2,3,0,1,0,1,0,0,0,True,False,True,False,6.1,-25.329999999999984,1,-1,False,0,1
5,55,0,4,0,9517.08,6.12,77,3.24,2.05,0.72,0.86,2.08,6.63,0.69,52.36,45.07,84.1,16.22,3,1,0,1.63,0.41,0,1,8.02,1,16,91,93.7,1.0,1,2,1,2,3,2,0,1,0,0,0,0,0,1,True,False,False,True,6.87,3.896666666666668,1,-1,False,0,1
6,13,0,7,2,155.29,6.81,63,4.07,0.89,0.67,1.43,1.9,7.07,0.85,94.57,82.3,11.24,18.05,1,0,1,1.95,0.81,1,0,1.95,0,9,114,9.58,3.0,2,1,3,2,3,4,0,1,0,0,0,1,0,0,False,True,True,False,7.06,57.37333333333333,1,-1,True,1,1
0,39,0,5,1,20238.23,4.09,84,2.99,0.55,1.73,1.35,1.2,7.22,1.16,27.86,49.68,66.16,67.93,1,1,0,1.5,0.75,0,0,33.77,1,8,105,21.08,1.0,2,2,3,2,2,1,2,1,0,0,0,1,0,0,True,False,False,True,6.619999999999999,-33.39666666666667,1,-1,False,0,2
8,65,2,1,3,48786.48,4.27,50,1.89,2.75,2.68,1.5,3.78,7.57,0.7,87.39,82.16,37.88,38.73,2,1,0,0.67,0.16,0,1,19.81,1,14,101,11.0,4.0,3,2,1,3,2,3,2,0,0,1,0,0,1,0,True,False,False,True,8.82,34.466666666666676,1,-1,False,0,1
7,44,1,3,1,39615.51,9.74,78,3.01,1.5,2.25,1.31,1.46,8.08,1.55,7.9,63.7,77.9,68.99,0,0,1,0.72,0.8,0,3,34.63,0,14,48,80.59,1.0,4,1,4,1,4,1,3,0,1,0,1,0,0,0,False,True,True,False,8.07,-62.296666666666674,1,-1,False,0,2
1,16,1,6,1,-7701.2,6.28,101,2.08,1.34,2.26,1.34,0.59,5.48,1.93,77.04,55.87,54.35,27.69,3,0,0,0.69,0.3,1,3,19.04,1,13,145,15.07,1.0,1,2,4,1,3,4,0,0,1,0,0,0,0,1,True,False,True,False,7.02,31.070000000000007,1,-1,False,0,1
8,47,2,3,2,44849.63,4.07,46,2.28,1.09,2.98,1.15,0.57,6.98,1.03,62.33,9.62,63.37,63.99,1,1,0,1.4,1.06,1,3,24.22,0,16,126,38.17,3.0,2,2,4,3,2,2,2,0,0,1,0,1,0,0,True,False,False,True,7.5,16.67,1,-1,False,0,2
4,29,1,0,1,35015.0,3.71,89,3.17,3.63,1.5,1.45,0.29,5.45,0.58,64.9,39.62,86.44,35.29,3,1,0,2.03,0.72,1,1,19.58,0,8,107,72.55,1.0,1,2,1,1,1,0,2,0,1,0,0,0,0,1,True,False,False,True,9.75,11.116666666666674,1,-1,False,0,1
9,29,1,3,2,31616.51,7.7,122,3.59,1.33,1.7,1.84,0.56,6.25,0.88,55.45,24.62,62.99,56.5,2,1,1,1.87,0.82,0,2,13.8,1,16,139,65.71,3.0,3,1,2,1,3,0,0,0,1,0,0,0,1,0,False,True,False,True,8.46,7.413333333333334,1,-1,False,0,1
1,38,0,1,1,29280.66,4.63,94,1.13,0.79,3.15,1.13,2.71,7.16,0.74,88.53,42.89,64.86,46.61,0,0,0,1.78,0.9,1,0,28.34,1,15,99,32.92,1.0,4,2,3,2,2,1,2,1,0,0,1,0,0,0,True,False,True,False,6.2,37.07666666666666,1,-1,False,0,1
4,68,0,0,0,33812.35,9.6,56,1.56,1.24,1.35,0.9,1.69,6.81,0.72,53.56,97.23,21.4,89.63,2,0,1,1.78,0.78,0,0,31.51,0,19,105,90.51,1.0,3,1,3,2,4,3,3,1,0,0,0,0,1,0,False,True,True,False,5.050000000000001,-15.86,1,-1,False,0,0
9,63,2,1,1,34178.38,5.22,100,0.79,0.36,2.05,1.41,1.8,7.09,0.0,94.09,22.65,7.84,60.8,1,1,0,1.42,0.65,1,1,20.69,1,18,104,73.33,1.0,2,2,1,3,2,3,0,0,0,1,0,1,0,0,True,False,False,True,4.609999999999999,63.66000000000001,1,-1,False,0,2
0,41,0,6,2,56991.84,5.99,72,1.75,1.33,0.36,2.18,2.47,6.58,1.2,22.03,92.76,77.63,65.72,1,1,0,1.22,0.52,1,3,20.12,0,8,71,71.11,3.0,2,2,4,2,2,1,0,1,0,0,0,1,0,0,True,False,False,True,5.62,-56.67333333333333,1,-1,False,0,2
7,40,2,0,1,39205.15,4.53,64,2.24,1.73,2.11,1.47,1.32,6.72,1.23,6.98,83.55,81.48,77.15,1,0,0,0.43,1.24,1,1,19.75,1,8,112,77.84,1.0,2,2,1,3,2,1,2,0,0,1,0,1,0,0,True,False,True,False,7.55,-73.74666666666667,1,-1,False,0,2
0,26,0,1,1,41868.24,5.68,87,1.92,0.56,4.27,0.96,2.32,5.51,1.12,27.36,47.94,1.06,19.54,1,0,1,1.19,1.11,1,0,12.84,1,14,89,47.55,1.0,2,1,3,2,2,0,0,1,0,0,0,1,0,0,False,True,True,False,7.71,4.513333333333335,1,-1,False,0,1
